0,1,0,1,2,3,4,5,6,7,8,9,0,1,0,2,0,3,0,3,4,0,0,1,0,2,0,5,3,0,6,0,0,0,1,2,3,4,1,5,6,7,8,9,2,8,10,11,12,13,3,14,15,16,8,2,4,17,18,19,20,4,5,21,22,23,18,24,3,5,25,7,26,23,0,0,10,11,4,27,3,28,15,16,4,27,0,8,29,9,13,30,1
0,1,10,11,12,3,13,14,15,7,16,17,0,1,0,2,0,6,5,0,6,0,0,1,0,2,0,6,0,3,1,0,3,5,25,7,19,18,3,5,25,7,3,27,5,21,26,23,4,13,3,14,15,16,8,2,4,17,18,31,20,12,3,5,25,7,18,24,5,32,26,23,20,27,6,0,10,11,4,27,7,33,34,24,28,25,4,17,35,19,28,6,1
2,3,18,19,20,3,4,5,11,2,21,13,1,0,0,2,0,5,3,0,6,0,0,1,0,2,6,0,3,0,6,0,3,5,25,7,3,4,0,8,1,9,5,25,3,28,6,36,4,13,3,14,15,16,2,8,4,17,18,31,12,20,3,5,25,7,24,18,3,5,6,36,3,27,8,20,12,13,8,10,9,21,22,23,25,16,4,17,18,31,20,12,0
3,2,14,22,7,23,13,10,1,2,21,24,1,0,0,2,0,5,3,0,6,0,0,1,0,2,1,0,3,0,4,0,1,5,25,7,18,24,5,37,26,38,8,9,0,0,10,11,4,27,1,14,15,16,8,2,4,17,18,31,12,20,3,5,6,7,18,24,0,8,29,9,5,6,8,20,12,13,8,10,9,21,22,23,25,16,10,17,18,31,26,38,1
4,5,10,6,25,23,4,14,1,2,3,26,0,1,2,0,0,1,0,3,6,0,0,1,0,2,0,1,3,0,0,4,3,5,6,7,3,4,3,5,25,7,26,38,8,20,12,13,8,10,1,14,15,16,8,2,4,17,18,31,20,12,3,5,25,7,18,19,1,5,6,7,8,9,8,20,12,27,8,10,3,14,15,16,2,8,10,33,18,19,20,12,1
5,4,14,1,27,3,13,28,11,7,23,4,1,0,0,2,0,1,3,0,0,6,0,1,2,0,0,1,0,3,4,0,3,5,25,7,17,18,1,5,6,7,8,9,3,5,25,7,21,23,3,14,15,16,2,8,4,17,18,19,20,12,7,17,34,19,3,4,3,5,25,7,3,27,0,0,10,11,27,3,1,14,15,36,8,2,4,17,18,31,20,12,0
0,6,14,6,7,23,13,28,29,30,3,31,0,1,0,2,0,5,5,0,4,0,1,0,0,2,1,0,0,3,6,0,3,5,6,36,17,34,3,5,25,7,26,23,0,0,10,11,4,27,1,14,15,16,8,2,4,33,18,31,20,12,7,17,34,19,3,4,11,32,22,23,27,3,3,5,6,36,12,13,3,14,15,16,8,2,4,33,18,31,20,12,0
6,0,5,6,32,8,13,14,1,33,3,24,1,0,0,2,3,0,0,3,6,0,0,1,0,2,0,1,3,0,4,0,3,5,6,36,17,34,3,5,25,7,26,23,0,0,10,11,4,27,1,14,15,16,8,2,4,33,18,31,20,12,7,17,34,19,3,4,11,32,22,23,27,3,3,5,6,36,12,13,3,14,15,16,8,2,4,33,18,31,20,12,0
0,6,14,29,9,23,34,5,19,2,35,24,1,0,0,2,3,0,0,5,6,0,0,1,0,2,0,5,3,0,4,0,3,5,6,36,17,34,3,5,25,7,26,23,0,0,10,11,4,27,1,14,15,16,8,2,4,33,18,31,20,12,7,17,34,19,3,4,11,32,22,23,27,3,3,5,6,36,12,13,3,14,15,16,8,2,4,33,18,31,20,12,1
7,8,17,36,2,8,37,10,6,7,21,4,1,0,0,2,0,3,1,0,0,4,0,1,2,0,0,5,0,3,0,6,7,17,18,19,0,10,3,5,25,7,3,39,5,21,22,23,13,12,3,28,15,16,4,27,10,33,18,19,20,12,3,5,6,7,3,4,3,5,6,36,20,27,0,0,1,11,13,12,9,21,26,23,16,25,4,40,18,24,20,12,0
7,8,18,19,25,21,24,0,1,33,16,37,1,0,0,2,0,1,3,0,0,6,0,1,2,0,0,1,0,3,0,1,7,40,34,19,4,13,0,8,1,9,26,38,5,20,12,13,21,41,9,21,26,23,14,25,10,33,34,19,26,41,3,28,6,7,3,4,1,5,6,36,8,9,3,28,6,36,21,23,12,3,4,39,28,16,10,33,18,31,12,39,0
3,5,14,19,25,3,13,0,6,2,8,38,0,1,0,2,1,0,3,0,6,0,1,0,0,2,0,5,5,0,4,3,1,5,25,7,34,19,0,8,1,9,5,25,8,20,12,13,17,18,3,14,15,16,8,2,10,17,34,24,4,20,3,5,25,7,3,4,3,5,25,36,26,38,2,8,10,11,12,13,3,28,15,36,0,10,6,0,1,2,28,16,1
5,3,39,36,29,3,13,14,11,7,21,40,1,0,0,2,0,1,3,0,0,4,0,1,0,2,1,0,3,0,4,0,7,17,18,19,4,13,3,5,25,7,3,39,5,21,26,23,12,13,3,14,15,16,2,8,4,17,18,19,20,12,3,5,25,7,34,24,3,5,25,36,3,27,0,0,10,11,4,27,9,21,22,23,25,16,10,17,18,24,6,28,1
3,5,14,41,7,23,24,10,1,34,3,9,0,1,0,2,1,0,3,0,4,0,1,0,0,2,0,1,3,0,0,6,3,5,25,7,18,24,3,5,15,36,8,9,0,0,10,11,28,16,1,14,15,16,8,2,10,17,18,24,26,38,3,5,6,7,3,4,1,5,6,7,8,9,0,3,12,13,8,10,3,14,15,36,2,8,0,8,29,9,30,13,1
9,10,10,11,2,8,42,43,1,25,3,44,0,1,2,0,0,3,3,0,0,6,1,6,0,2,1,0,3,0,0,4,3,5,6,7,3,4,3,5,6,7,8,1,8,20,12,13,8,10,3,28,15,36,4,27,4,17,18,31,30,4,3,5,25,7,4,13,0,8,29,9,6,5,8,20,12,13,17,18,3,28,15,36,8,2,6,0,1,11,21,38,1
9,10,10,1,29,3,42,28,41,7,35,13,0,1,2,0,0,1,3,0,0,6,1,0,0,2,1,0,3,0,0,4,3,5,6,7,4,3,1,5,6,36,8,9,5,32,22,23,12,13,3,28,15,36,8,2,4,17,18,31,30,4,7,17,18,19,3,4,3,5,25,7,32,38,0,0,10,11,4,27,13,28,25,36,8,2,4,33,18,31,20,12,0
9,10,43,36,25,8,38,10,19,34,21,13,6,1,0,2,1,0,5,0,4,3,0,1,2,0,0,1,3,0,0,6,3,5,6,7,4,13,3,5,25,7,3,39,5,3,12,13,8,10,3,28,15,36,4,27,2,0,10,11,28,16,3,5,6,7,3,4,0,8,1,9,5,25,14,37,26,42,8,10,9,21,26,23,20,4,10,17,18,19,4,20,0
1,11,45,11,2,35,44,14,15,0,8,31,0,1,0,2,0,6,0,5,4,0,0,1,2,0,4,0,0,3,0,6,3,5,6,7,18,19,3,5,6,7,3,27,2,8,10,11,12,13,13,28,25,16,3,39,6,0,10,11,27,20,3,5,6,7,17,34,5,32,26,23,8,9,0,8,10,2,28,6,3,28,15,36,4,27,4,17,34,31,20,12,0
11,1,28,1,46,23,31,10,6,34,3,4,0,1,2,0,1,0,0,3,0,6,0,1,0,2,0,1,0,5,6,0,7,17,18,19,3,4,1,5,6,36,8,9,3,28,6,7,21,23,1,14,15,16,8,2,4,17,18,31,20,12,3,5,6,7,3,4,3,5,6,7,20,27,0,8,10,11,18,19,3,14,15,16,8,2,4,17,18,31,20,12,0
1,11,46,6,2,3,31,10,19,34,8,4,0,1,0,2,0,1,0,3,6,0,0,1,2,0,1,0,0,5,0,6,3,28,6,7,4,13,3,5,6,7,20,27,3,20,12,13,8,10,3,14,15,16,8,2,4,17,18,31,20,12,3,5,6,7,3,4,0,8,1,9,5,6,0,3,12,27,8,10,3,28,15,16,27,4,4,17,18,31,20,12,1
12,13,5,11,33,23,13,28,1,47,3,24,0,1,2,0,0,1,3,0,6,0,1,0,2,0,1,0,3,0,0,4,3,5,25,7,17,34,3,5,25,36,3,27,15,28,6,36,34,19,1,14,15,16,8,2,4,17,18,31,20,12,7,17,18,19,3,4,1,5,25,7,8,9,13,28,25,36,3,27,3,28,15,36,8,2,10,33,18,24,26,38,1
13,12,10,1,12,48,38,45,6,27,8,31,1,0,2,0,1,0,5,0,3,4,0,1,2,0,0,1,3,0,6,0,3,5,6,7,3,4,1,5,25,7,8,9,5,21,26,23,0,10,1,14,25,16,0,2,2,0,1,11,28,16,3,5,25,7,18,24,3,5,25,36,27,20,3,28,6,36,21,23,3,28,15,16,4,27,4,17,18,31,20,12,0
4,8,14,15,7,3,13,10,6,49,8,4,0,1,2,0,0,1,0,3,6,0,0,1,2,0,0,1,0,1,0,6,3,5,25,7,17,18,5,32,26,23,20,27,0,0,10,11,27,3,3,28,15,16,8,2,4,17,18,31,12,20,3,5,6,7,3,4,3,5,6,36,27,20,15,28,6,36,34,19,3,28,15,36,4,27,4,40,18,31,20,12,1
8,4,45,36,50,23,4,10,19,49,8,31,0,1,2,0,0,1,0,5,0,6,0,1,2,0,0,6,0,3,6,0,3,5,6,7,40,18,3,5,25,36,3,39,13,28,15,36,3,4,1,14,15,36,8,2,4,40,18,31,20,12,3,5,25,7,3,4,0,8,1,9,5,25,3,28,25,36,3,12,3,28,15,36,4,27,4,17,18,31,12,20,0
14,0,14,6,2,8,38,10,19,25,3,24,1,0,0,2,0,5,5,0,4,3,0,1,0,2,0,1,3,0,6,0,3,5,6,7,18,24,3,5,6,36,26,23,8,3,12,27,8,10,3,28,15,16,4,27,2,0,1,11,28,16,3,28,25,36,18,24,0,8,1,9,26,38,8,20,12,13,17,18,3,14,15,16,2,8,10,33,18,24,26,38,1
0,14,14,19,12,3,24,28,11,51,8,9,0,1,0,2,0,1,3,0,4,0,1,0,0,2,0,1,3,0,0,6,3,5,25,36,17,34,0,8,1,9,25,5,5,21,26,23,6,28,3,14,15,16,2,8,10,33,18,24,26,38,7,17,18,19,3,4,3,5,6,7,3,27,4,17,18,19,13,4,3,28,15,16,4,27,0,8,29,9,30,43,0
2,9,52,15,53,48,38,10,29,9,8,13,1,0,0,2,0,1,1,0,3,4,0,1,2,0,0,1,1,0,0,6,3,5,25,7,4,13,11,32,26,23,28,36,2,0,10,11,3,12,1,14,25,16,3,4,6,0,10,2,28,16,3,5,25,7,18,19,11,32,26,23,3,43,0,8,29,9,34,17,3,28,15,36,4,27,4,17,18,19,20,4,0
2,9,28,1,47,16,9,10,19,33,3,13,1,0,0,2,0,1,3,0,1,0,0,1,2,0,0,1,3,0,0,4,7,17,18,19,3,4,1,5,25,36,18,31,9,21,22,23,0,10,7,33,18,24,28,25,4,17,34,19,6,5,3,5,25,7,3,4,15,5,25,36,8,9,15,28,6,36,19,34,3,28,15,16,2,8,4,17,18,19,20,4,0
15,6,5,19,7,35,9,28,36,54,3,13,0,1,2,0,1,0,0,3,0,6,1,0,0,2,3,0,0,5,6,0,3,5,25,7,27,3,0,8,1,9,5,25,0,0,10,2,4,27,13,28,25,16,4,39,0,0,29,11,12,30,7,17,34,19,3,4,3,5,25,7,8,9,14,21,22,42,34,24,3,14,15,16,8,2,4,33,18,31,12,27,0
6,15,28,19,34,3,24,5,6,50,8,38,1,0,0,2,1,0,0,3,6,0,0,1,2,0,1,0,0,6,4,3,7,17,34,19,3,4,0,8,29,9,5,25,0,3,12,27,8,10,3,14,15,16,8,2,10,33,18,24,26,38,3,5,6,7,27,3,3,5,25,36,38,26,15,14,15,16,3,4,3,28,15,16,4,27,2,0,10,2,28,16,1
1,4,0,36,12,8,38,5,11,47,3,13,0,1,0,2,0,1,0,5,3,4,0,1,2,0,0,1,0,3,6,0,0,0,1,2,3,4,3,5,25,7,3,39,5,21,26,23,0,10,3,28,15,16,3,4,2,0,1,11,28,16,3,5,25,7,34,24,3,5,25,7,3,27,9,21,44,23,0,10,3,28,15,36,8,2,4,17,18,31,20,12,1
4,1,10,36,25,8,4,28,19,47,3,13,0,1,2,0,0,1,0,3,6,0,0,1,0,2,0,1,0,3,4,0,3,5,25,7,3,4,3,5,25,7,3,39,5,20,12,13,8,10,3,28,15,36,4,27,4,17,18,31,20,12,7,17,18,19,3,4,0,8,1,9,5,25,6,0,10,11,21,23,3,14,15,16,8,2,4,17,18,31,20,12,0
7,11,14,15,47,35,31,55,36,44,3,4,1,0,0,2,0,1,3,0,0,6,0,5,2,0,1,0,0,5,0,4,3,5,6,7,34,19,5,32,26,23,20,27,6,0,10,11,21,23,13,14,25,16,8,2,4,33,18,31,20,12,0,0,1,2,3,4,3,5,25,7,39,3,8,3,12,27,8,1,3,14,15,16,2,8,4,33,18,31,20,12,0
11,7,56,36,34,3,4,28,19,12,21,26,0,1,2,0,1,0,0,3,0,4,1,0,0,2,0,1,3,0,0,6,15,14,6,16,3,4,3,5,25,7,39,3,6,3,12,27,8,10,3,14,15,16,2,8,4,33,18,31,20,12,0,3,4,27,34,19,0,8,1,9,5,25,5,21,44,23,13,12,9,21,26,23,14,25,10,33,18,31,20,12,1
10,3,10,1,7,8,31,45,19,29,3,13,1,0,0,2,1,0,3,0,0,6,0,1,0,2,1,0,3,0,6,0,3,5,25,7,3,4,0,8,29,9,6,5,0,0,10,11,4,27,3,28,15,36,4,27,4,33,18,31,20,12,3,5,6,7,18,24,0,8,1,9,5,25,5,32,22,23,12,13,3,14,15,16,8,2,4,17,18,31,20,4,1
3,10,28,1,12,3,4,45,19,7,35,13,0,1,0,2,6,0,5,0,4,0,1,0,0,2,1,0,3,0,0,6,7,17,34,19,3,4,0,8,29,9,5,25,5,21,22,23,12,13,3,14,15,16,8,2,4,17,34,31,20,12,3,5,25,7,21,23,0,8,1,9,25,16,0,0,10,11,4,13,13,28,25,36,4,39,4,33,18,31,20,12,1
3,10,14,1,20,23,4,28,41,25,3,31,0,1,0,2,1,0,5,0,4,0,1,0,0,2,1,0,3,0,0,6,3,5,6,7,17,18,0,8,29,9,5,6,3,28,6,36,4,13,1,14,15,16,8,2,4,17,18,31,20,12,7,17,34,19,3,4,3,5,25,16,32,38,0,3,12,13,8,10,3,28,15,36,8,2,4,17,18,31,20,12,0
16,5,45,19,34,3,4,5,11,7,21,40,1,0,0,2,1,0,0,3,0,4,1,0,0,2,0,1,3,0,4,0,3,5,6,7,21,23,0,8,1,9,5,25,8,3,12,13,8,10,3,14,15,7,8,2,4,17,18,31,20,12,3,5,25,7,21,23,3,5,25,36,3,27,0,0,10,11,4,27,9,21,26,23,25,14,10,33,18,24,28,6,1
16,5,10,19,7,8,31,14,11,12,3,13,1,0,0,2,6,0,0,1,0,6,1,0,0,2,0,6,5,0,0,6,3,5,6,7,3,4,0,8,1,9,5,25,5,21,44,23,4,27,3,28,15,7,4,27,4,17,18,31,20,12,3,5,25,7,18,17,3,5,25,36,3,27,5,21,44,23,12,13,3,14,15,16,2,8,4,17,18,19,20,12,1
15,0,5,11,2,8,9,0,1,57,3,4,0,1,0,2,0,1,3,0,6,0,0,1,2,0,5,0,0,3,0,6,3,5,25,36,19,18,3,5,25,7,3,27,8,3,12,13,8,10,3,28,15,16,4,27,0,8,29,9,30,13,0,0,1,2,3,4,1,5,25,36,8,9,8,20,4,27,0,10,3,14,15,16,8,2,4,33,18,19,20,12,1
15,0,14,9,2,8,24,18,1,25,3,13,0,1,2,0,1,0,0,5,0,4,0,1,0,2,0,1,3,0,6,0,3,14,6,7,18,24,3,5,6,36,8,9,8,20,12,13,0,10,3,28,15,16,4,39,10,33,18,24,26,41,7,40,18,24,3,4,1,5,25,7,8,9,8,20,12,13,17,18,3,14,15,16,8,2,4,17,18,31,20,4,1
12,14,56,1,51,58,4,28,59,12,3,13,0,1,2,0,0,1,0,3,6,0,1,0,0,2,0,1,3,0,0,6,15,14,25,16,4,13,1,5,25,36,8,9,4,17,18,19,13,12,9,21,22,23,28,15,4,17,18,31,20,12,7,17,34,19,3,4,3,5,6,7,3,27,5,21,22,23,3,12,3,14,15,16,8,2,4,33,18,31,20,4,1
14,12,10,19,47,35,24,60,1,57,8,38,1,0,0,2,0,1,1,0,0,3,0,1,2,0,0,1,0,5,4,3,3,5,6,7,3,4,0,8,1,9,5,25,6,0,10,11,21,23,13,14,25,16,4,39,10,17,18,19,8,10,7,40,18,19,4,13,1,5,25,36,8,9,5,3,12,13,8,10,3,28,15,16,0,10,2,0,1,2,28,16,0
9,7,10,19,29,8,9,43,1,47,3,4,0,1,6,0,0,1,3,0,0,6,6,1,0,2,0,1,3,0,0,4,3,5,25,7,3,4,15,5,25,36,8,1,5,32,44,23,12,13,3,28,15,16,4,27,0,8,29,9,30,13,3,5,6,7,4,13,1,5,6,36,8,9,6,0,10,11,21,23,3,14,15,16,8,2,4,33,18,19,20,12,0
7,9,28,1,50,3,13,45,29,9,8,42,1,0,0,2,0,1,3,0,0,6,0,1,2,0,0,1,3,0,0,6,7,17,18,19,3,4,1,5,6,36,8,9,15,14,15,16,3,4,3,14,15,16,8,2,4,33,18,19,20,12,3,5,6,7,21,23,11,32,26,23,3,43,15,5,6,7,34,17,3,28,15,36,4,27,4,17,18,31,4,30,0
9,7,28,61,33,3,34,56,1,12,8,31,0,1,2,0,0,1,5,0,0,3,1,0,0,2,0,1,3,0,0,6,7,3,4,39,19,35,3,5,6,36,8,1,15,28,6,36,34,19,3,28,15,36,8,2,4,30,12,27,8,29,15,14,25,16,4,3,1,5,6,36,8,9,9,21,44,23,0,10,3,28,15,16,4,27,4,33,18,31,20,12,0
6,8,10,11,25,3,13,14,61,7,21,9,1,0,0,2,1,0,0,3,4,0,0,1,2,0,0,1,0,3,0,6,3,5,6,7,18,19,3,5,6,36,32,38,8,20,12,13,18,17,3,14,15,16,8,2,4,33,18,31,12,20,3,5,6,7,17,18,3,5,6,36,8,9,0,0,10,11,13,4,9,21,26,23,14,25,0,8,29,9,30,12,1
8,6,45,29,5,3,13,28,19,34,8,9,0,1,2,0,0,3,0,5,0,6,1,0,0,2,1,0,0,3,6,0,3,5,6,7,40,19,11,32,26,23,3,43,3,5,25,7,18,24,3,14,15,16,8,2,4,17,18,31,20,12,7,17,18,19,3,4,0,8,29,9,5,25,0,3,12,27,8,10,3,28,15,16,4,27,0,8,29,9,12,30,0
2,10,18,19,34,35,4,28,11,33,8,38,1,0,0,2,0,1,3,0,6,0,1,0,0,2,1,0,5,0,4,3,3,5,25,7,3,4,0,8,1,9,25,36,8,3,12,13,8,10,13,14,25,16,39,4,4,17,18,31,20,12,7,17,18,19,3,4,3,5,6,7,3,27,3,28,6,36,21,23,3,28,15,36,27,4,2,0,10,11,28,16,0
10,2,5,1,46,8,38,28,19,7,3,31,1,0,0,2,0,1,5,0,3,4,1,0,0,2,1,0,3,0,0,6,3,5,6,7,21,23,1,5,25,36,26,38,3,28,6,7,4,13,3,28,15,36,4,27,6,0,10,11,28,16,7,17,18,19,3,4,0,8,1,9,25,36,0,0,10,11,4,27,3,28,15,36,2,8,4,17,18,31,30,12,1
5,12,56,11,47,3,13,28,61,49,8,38,1,0,0,2,0,1,3,0,0,6,0,1,2,0,0,1,0,1,4,3,15,14,25,16,4,3,3,5,25,7,3,27,6,0,10,2,21,23,3,14,15,36,2,8,4,17,18,19,20,4,7,17,35,19,3,4,3,5,25,36,8,9,15,28,6,36,34,19,3,28,15,16,0,10,2,0,1,2,28,16,1
5,12,10,1,12,3,4,45,11,57,8,31,1,0,0,2,0,6,5,0,0,6,0,1,2,0,0,1,0,3,6,0,3,5,25,7,4,3,1,5,25,7,8,9,5,21,44,23,12,13,3,14,15,36,2,8,4,17,18,19,20,12,3,5,25,7,18,24,3,5,25,36,3,43,15,3,12,13,0,10,3,28,15,16,0,10,4,17,18,31,20,12,0
5,12,28,11,2,62,13,10,1,46,58,4,1,0,0,2,0,6,3,0,0,6,0,1,2,0,0,1,0,3,6,0,7,17,18,19,4,3,3,5,25,7,3,27,2,0,10,11,12,13,15,28,15,36,1,2,4,17,18,19,20,12,3,5,25,7,4,13,1,5,6,36,8,9,3,28,6,7,13,4,9,21,22,23,28,15,4,17,18,31,20,12,0
13,15,28,11,47,8,31,0,61,57,3,13,1,0,2,0,0,1,3,0,0,6,0,1,2,0,1,0,0,3,0,6,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,0
15,13,55,11,25,3,13,14,61,2,8,9,0,5,2,0,1,0,0,5,0,6,1,0,2,0,1,0,3,0,0,6,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,8,45,45,45,45,45,1
0,16,10,1,33,3,63,14,11,7,8,38,0,1,0,2,0,1,5,0,3,0,1,0,2,0,1,0,0,1,4,3,3,5,25,7,18,19,1,5,25,7,9,8,15,28,6,36,34,19,3,14,15,16,2,8,2,8,1,2,4,27,3,5,25,7,18,17,3,28,6,36,3,27,0,0,10,11,4,27,3,28,15,16,4,27,2,0,10,11,28,16,0
16,0,43,1,29,58,4,10,6,7,3,24,6,1,2,0,1,0,0,3,0,6,0,1,0,2,0,1,3,0,4,0,3,5,6,7,4,13,1,5,6,36,8,29,5,32,26,23,12,13,9,21,44,23,28,15,4,17,18,31,20,12,3,5,25,36,4,13,3,5,25,7,26,23,0,0,1,11,4,13,3,14,15,16,2,8,10,33,18,24,26,38,0
0,16,46,61,7,3,13,28,6,34,8,4,0,1,0,2,0,5,3,0,6,0,1,0,2,0,1,0,0,3,0,4,3,5,6,36,4,13,3,5,25,7,26,23,6,0,1,11,4,13,3,14,15,16,8,2,4,17,18,31,20,4,3,3,4,27,17,19,3,5,6,36,26,38,0,3,12,13,8,10,3,28,15,7,4,27,4,17,18,31,20,12,0
7,3,17,1,2,8,24,14,11,7,3,4,1,0,0,2,0,5,1,0,0,3,0,1,0,2,5,0,3,0,6,0,7,17,18,19,6,28,1,5,6,36,8,9,5,21,44,23,13,12,3,28,15,16,4,27,10,33,18,31,26,41,3,5,6,7,17,34,3,5,25,7,3,27,0,0,10,11,4,27,3,14,15,16,8,2,4,17,18,31,20,12,1
3,7,45,19,7,35,13,14,36,12,3,42,0,1,0,2,6,0,3,0,6,0,1,0,0,2,0,6,5,0,0,6,3,5,6,7,18,24,0,8,1,9,5,25,5,21,22,23,4,27,13,28,25,16,8,2,4,17,18,31,20,12,3,5,6,7,21,41,3,5,25,7,8,9,5,21,44,23,13,4,3,14,15,16,8,2,4,17,18,31,30,12,1
7,3,45,1,12,3,38,14,15,9,8,13,1,0,0,2,0,1,5,0,4,3,0,1,0,2,7,0,1,0,6,0,3,5,6,7,18,19,1,5,6,36,8,9,5,21,44,23,0,10,3,14,15,16,8,2,2,0,10,2,16,28,3,5,25,7,17,34,5,32,26,23,20,27,0,8,29,9,17,34,3,28,15,16,4,27,4,17,34,31,20,4,0
4,14,28,1,57,35,9,45,19,25,3,13,0,1,2,0,0,5,0,3,6,0,1,0,0,2,0,1,5,0,0,6,7,17,34,19,3,4,1,5,6,36,8,9,8,3,12,27,0,10,13,28,15,36,3,39,0,8,29,9,30,43,3,5,6,7,34,24,0,8,1,9,5,25,8,20,12,13,8,10,3,14,15,16,8,2,4,17,18,31,20,4,0
14,4,14,19,47,35,37,10,61,57,21,4,1,0,0,2,0,1,3,0,0,4,0,1,2,0,0,1,0,3,6,0,3,5,25,7,18,24,0,8,1,9,5,25,6,0,10,11,13,4,13,14,25,16,4,39,10,33,18,19,20,12,3,5,25,7,3,4,9,37,26,38,8,9,0,0,10,11,4,13,9,21,26,41,5,25,4,17,18,31,20,12,0
